Country,gdpChange,gdpChange2,Unemployment,Inflation,OilImports,OilImportsKG
Angola,0.943571561325001,-33.44226768230319,7.39,9.2,1.26114004,1900910.0
Albania,2.21872637517804,-13.91951821564221,17.19,1.9,0.27021163,460380.0
United Arab Emirates,6.78677287945216,-10.584237905871534,1.77,4.1,1.13975097,1625850.0
Argentina,2.73115982828944,13.0015302670341,7.52,,2.12121635,3504900.0
Armenia,3.19999999896625,-9.097502246042072,18.26,3.7,0.21737488,270563.0
Australia,2.19016928695221,-7.966474429256544,6.05,1.5,13.86701539,24757800.0
Austria,1.30352309798889,-13.45550418675044,5.72,0.8,3.26651668,5510070.0
Azerbaijan,1.09397591627469,-29.457221288151548,4.96,4.0,0.13865066,313372.0
Burundi,-3.9000000804855,14.717372676283864,1.6,5.6,0.11263901,124916.0
Belgium,1.47416438588013,-14.301942550874896,8.48,0.6,11.16020729,24016300.0
Benin,1.77815106030278,-14.27500378281588,2.01,0.2,0.28863839,527354.0
Burkina Faso,3.9212287937935,-15.139168953800649,4.32,1.7,0.75070114,0.0
Bangladesh,6.55263987816197,12.875489380821314,4.37,6.4,4.35937101,9409820.0
Bulgaria,3.39755325869422,-11.10222772505592,9.14,-1.1,0.72728906,1364630.0
Bahrain,2.50787205267615,-6.46840751479804,1.2,1.8,0.08469647,98754.6
Bahamas,0.996758610594114,6.358607995188671,12.0,1.9,0.52019756,4251330.0
Bosnia and Herzegovina,4.31475061116335,-11.60846824780157,27.69,-1.0,0.47413146,821523.0
Belarus,-3.82957055828389,-28.368379835460427,5.84,13.5,0.5116987,1652660.0
Belize,2.87618379515959,2.562843446743833,7.58,-0.9,0.09826029,338260.0
Bolivia,4.85718723245387,0.0121536329220063,3.11,4.1,1.09330673,1341670.0
Brazil,-3.54576339269425,-26.621330599837226,8.43,9.0,9.14942891,15135100.0
Barbados,-0.846098521356325,-1.4520925892205234,9.8,-1.1,0.2907269,626377.0
Botswana,-4.85133564036167,-12.536060515383983,20.57,3.1,1.55205014,0.0
Central African Republic,4.33712103020231,-10.501703034360489,5.61,1.4,0.00166612,1209.58
Canada,0.649970993709132,-13.802634860932647,6.91,1.1,11.89264524,28766300.0
Switzerland,1.64462768699285,-4.46220713998819,4.8,-1.1,4.40220055,0.0
Chile,2.15194249853634,-6.592139743155373,6.51,4.3,4.01379851,6921290.0
Cameroon,5.66695298703932,-11.477626467032437,3.55,2.7,0.36440919,640292.0
Colombia,2.95590137527523,-23.016550012859444,8.3,5.0,5.08856065,9099910.0
Comoros,1.14735076108914,-15.967295611360656,8.14,0.9,0.00811584,12910.8
Costa Rica,3.65208096802883,8.507915220853757,9.0,0.8,1.23656783,2190370.0
Cyprus,3.41892299033393,-14.279908359271968,14.91,-1.5,1.19365239,2665710.0
Germany,1.65271977174628,-13.672705167069598,4.62,0.7,20.5511562,38859000.0
Denmark,2.10441458712587,-14.475328931617652,6.28,0.2,3.27160536,6297330.0
Dominican Republic,6.9270187716221,5.931637076975223,7.61,0.8,1.99790152,0.0
Algeria,3.20000000000009,-21.531863619707856,11.21,4.8,1.98519178,3337670.0
Ecuador,0.119692109287612,-5.362494447651398,3.62,4.0,2.09583514,3628860.0
Spain,4.06086669718569,-12.612241966529911,22.06,-0.6,7.01597174,16053000.0
Estonia,1.83815704837467,-13.837538018894096,6.19,0.1,1.50961392,3535580.0
Finland,0.46650351789539,-14.724298687189265,9.38,-0.2,2.41877823,4227290.0
Fiji,4.50119938335874,-3.5952462807200103,4.3,1.4,0.45365711,0.0
France,1.06675473488909,-14.63537588082389,10.35,0.1,19.52771901,36869600.0
Gabon,3.8788993950789,-20.989156676727184,20.61,-0.1,0.36366321,554651.0
United Kingdom,2.22288844908437,-4.463625765926651,5.3,0.0,18.12572438,33445300.0
Georgia,3.35102350265353,-15.263367773995412,16.51,4.0,0.6584873,1228680.0
Ghana,2.12075933817334,-9.815596756513438,6.81,17.2,0.51047898,0.0
Guinea,3.82591056949435,0.179169763999592,4.92,8.2,0.31016907,655334.0
Gambia,4.0580738039996,12.095934743950004,9.47,6.8,0.07270058,92621.2
Guinea-Bissau,6.1340893623123,1.509221306049766,5.87,1.5,0.02731039,47830.7
Greece,-0.228301959026894,-16.82011963115232,24.9,-1.1,3.03176428,7743190.0
Guatemala,4.09217081621244,7.491357591925418,2.51,2.4,2.01603919,3866210.0
Guyana,0.687404590619494,3.68683555086811,13.21,-0.9,0.35624441,726283.0
Honduras,3.84007997093951,6.191661529739612,6.15,3.2,1.28344683,2388380.0
Croatia,2.32317515803855,-14.43823828479932,16.18,-0.3,0.96667561,1775750.0
Hungary,3.7073159793626,-11.245298228469702,6.81,-0.1,1.35761477,2364940.0
Indonesia,4.87632230022123,-3.363271949408744,4.51,6.4,14.00854073,24139000.0
India,7.99625378571471,3.161249758138968,5.43,4.9,3.98601821,6653510.0
Ireland,24.6155699766256,13.34553715586903,9.91,0.0,2.4734851,4444870.0
Iceland,4.43666371937172,-1.961373879306596,3.98,1.6,0.61761825,1121140.0
Israel,2.31351073538721,-3.619222427212085,5.25,-0.6,1.790373,1603340.0
Italy,0.885667638046783,-15.084625712076004,11.9,0.1,7.00674546,15605500.0
Jamaica,0.92148712538031,2.0844283653500657,13.51,3.7,0.68518661,1552250.0
Jordan,2.49652879315188,4.720449396444628,13.08,-0.9,1.38646965,2672520.0
Japan,1.56062669674904,-9.231453335844613,3.4,0.8,14.47838593,27460200.0
Kazakhstan,1.20000000053288,-16.722943918976053,4.93,6.7,0.93182051,1942700.0
Kenya,4.96772112759767,2.686723266327264,2.78,6.6,2.29166543,4383380.0
Kyrgyz Republic,3.87582544512439,-10.5773174679258,7.56,6.5,0.64331535,1599820.0
Cambodia,7.20703472529512,9.675883617706925,0.39,1.2,0.02511711,18632.9
Kuwait,0.592771759399795,-29.55103703794681,2.2,3.3,0.14135714,61966.9
Lebanon,0.462320792597581,3.8135272667235984,9.32,-3.8,3.6424609,6721640.0
Sri Lanka,4.2059554759927,3.165474405096088,4.52,2.2,1.50928791,3001350.0
Lesotho,3.12406678044546,-3.3336430775253176,23.84,3.2,0.14968762,0.0
Lithuania,2.83280857741104,-14.00553818879512,9.12,-0.7,1.16750337,2081800.0
Luxembourg,2.26978448419565,-12.692757149745193,6.67,0.1,1.33442965,2489460.0
Latvia,3.78336528957813,-12.988775055737433,9.87,0.2,1.10869016,2040300.0
Morocco,4.34458297635238,-7.317179553823356,9.46,1.6,3.32790995,6750370.0
Moldova,-0.338235622387202,-17.064534773718897,4.7,9.6,0.3963344,698199.0
Madagascar,3.13229807490305,-9.581895551288564,1.79,7.4,0.44151235,775888.0
Maldives,3.97171570327362,11.68815299342459,6.93,1.4,0.27534295,503854.0
Mexico,2.70232342550646,-11.081890409652612,4.31,2.7,19.71213698,0.0
Malta,9.62109756228348,-4.603266465510272,5.38,1.2,1.78669806,5149030.0
Myanmar,6.99284029025125,-9.040072582682471,0.77,7.3,1.81641831,2444300.0
Montenegro,3.39038139712073,-11.735751649848728,17.54,1.5,0.15479816,266527.0
Mongolia,2.37983580731722,-4.961529052532889,4.86,6.8,0.70763229,1146520.0
Mozambique,7.3930936986377,-9.84111997786504,3.43,3.6,0.71307118,1021310.0
Mauritania,5.37633924099251,-6.456904749223977,10.14,0.5,0.54016786,0.0
Mauritius,3.69055690369433,-8.159922765925707,7.41,1.3,0.55388173,303054.0
Malawi,2.80000000125513,4.750968230625963,5.86,21.9,0.22925235,192085.0
Malaysia,5.09153242155011,-10.859068290106444,3.1,2.1,14.71876039,29373900.0
Namibia,4.26417453763675,-8.847862923376661,20.91,3.4,1.0853682,8160310.0
Niger,4.39264883207291,-10.854107934677154,0.53,1.0,0.07897768,100619.0
Nigeria,2.65269329543003,-14.134339175438178,4.31,9.0,6.08109959,0.0
Nicaragua,4.79144081994679,7.375586233312951,4.7,4.0,0.3879749,617370.0
Netherlands,2.12060522421717,-13.955068396558271,6.87,0.2,26.59943525,57863000.0
Norway,1.85733972643303,-22.63677567078596,4.3,2.2,2.16847757,4371570.0
Nepal,3.97605327162971,7.167060120853925,3.1,7.2,0.6062318,380475.0
New Zealand,3.73403577291154,-11.539493553144434,5.41,0.3,1.32338254,2416190.0
Oman,5.01705799719045,-15.09000415231128,3.39,0.1,3.07133769,4801430.0
Pakistan,4.21794209572506,10.528415078727472,3.57,4.5,5.89825659,10321500.0
Panama,5.26691719595516,8.440493021025572,2.98,0.1,1.54087792,2427960.0
Peru,3.25224477218451,-5.470132673644859,3.27,3.5,2.49412127,0.0
Philippines,6.34830971539886,3.0127096913065103,3.07,0.7,3.33697185,6771150.0
Poland,4.43176700264478,-11.451048901480757,7.5,-0.9,1.81529667,2818290.0
Portugal,1.58979828893855,-13.491081300491908,12.44,0.5,1.13270373,2335380.0
Paraguay,2.95715173487106,-10.318710068162162,4.56,3.1,1.32416803,1819490.0
Qatar,4.75334572438737,-21.570968401763217,0.17,0.9,0.12546536,59074.0
Romania,3.1570360543854,-10.933774688216992,6.81,-0.6,1.20998781,1997570.0
Russian Federation,-1.97271922580408,-33.787167620909074,5.57,15.5,1.06770484,1286520.0
Rwanda,8.8568555974538,3.699415816887049,1.15,2.5,0.41031777,378106.0
Saudi Arabia,4.5090590631757,-12.669039492523227,5.59,1.2,0.60009377,848996.0
Sudan,1.91017689052751,4.463156649965978,17.49,16.9,0.06050396,72321.6
Senegal,6.36704365066983,-10.215996628998202,6.76,0.9,0.70961937,1418930.0
Singapore,2.97679931634806,-2.180320592340421,3.79,-0.5,42.5736029,112782000.0
Solomon Islands,1.67614615649777,-2.071138446462694,0.73,-0.6,0.07286719,68262.6
Sierra Leone,-20.4910741067999,-15.216826770439344,4.74,6.7,0.47783524,3209.18
El Salvador,2.40000008852115,3.739000693563229,4.0,-0.7,1.1679491,2176940.0
Suriname,-3.41304268067621,-2.182350916338737,7.22,6.9,0.23395751,290331.0
Slovak Republic,5.1768795103709,-12.323417424681477,11.48,-0.3,0.92568199,0.0
Slovenia,2.39330872436074,-13.743454392946628,8.96,-0.5,1.88206147,3448470.0
Sweden,4.41014067579341,-13.160464104352116,7.43,0.7,4.90579241,8245810.0
Eswatini,1.35489493183989,-8.760547577110787,23.33,5.0,0.16518759,266812.0
Togo,5.46803129272737,-9.976935299081587,2.2,1.8,0.22563203,350008.0
Thailand,3.13404724911635,-1.4834821544811665,0.6,-0.9,2.9931771,4580590.0
Trinidad and Tobago,-0.777459952231411,-8.993715394730376,2.43,4.7,0.05653717,54989.9
Tunisia,0.967703108220121,-8.936059031283914,15.16,4.4,1.53307203,3010880.0
Tanzania,6.16062877406682,-5.1469796598508255,2.14,5.6,7.32820757,2663860.0
Uganda,5.18785986002466,-0.6905764257921309,1.91,3.7,0.97988297,1503280.0
Ukraine,-9.77298721103519,-31.81398672590015,9.14,48.7,3.80895774,6760620.0
