Country,gdpChange,gdpChange2,Unemployment,Inflation,OilImports,OilImportsKG
Angola,0.943571561325001,-33.44226768230319,7.39,9.2,1261140040.0,1900910000.0
Albania,2.21872637517804,-13.91951821564221,17.19,1.9,270211630.0,460380000.0
United Arab Emirates,6.78677287945216,-10.584237905871534,1.77,4.1,1139750970.0,1625850000.0
Argentina,2.73115982828944,13.0015302670341,7.52,,2121216350.0,3504900000.0
Armenia,3.19999999896625,-9.097502246042072,18.26,3.7,217374880.0,270563000.0
Australia,2.19016928695221,-7.966474429256544,6.05,1.5,13867015390.0,24757800000.0
Austria,1.30352309798889,-13.455504186750439,5.72,0.8,3266516680.0,5510070000.0
Azerbaijan,1.09397591627469,-29.457221288151548,4.96,4,138650660.0,313372000.0
Burundi,-3.9000000804855,14.717372676283864,1.6,5.6,112639010.0,124916000.0
Belgium,1.47416438588013,-14.301942550874896,8.48,0.6,11160207290.0,24016300000.0
Benin,1.77815106030278,-14.27500378281588,2.01,0.2,288638390.0,527354000.0
Burkina Faso,3.9212287937935,-15.139168953800647,4.32,1.7,750701140.0,0.0
Bangladesh,6.55263987816197,12.875489380821314,4.37,6.4,4359371010.0,9409820000.0
Bulgaria,3.39755325869422,-11.10222772505592,9.14,-1.1,727289060.0,1364630000.0
Bahrain,2.50787205267615,-6.46840751479804,1.2,1.8,84696470.0,98754600.0
Bahamas,0.996758610594114,6.358607995188671,12.0,1.9,520197560.0,4251330000.0
Bosnia and Herzegovina,4.31475061116335,-11.60846824780157,27.69,-1,474131460.0,821523000.0
Belarus,-3.82957055828389,-28.368379835460427,5.84,13.5,511698700.0,1652660000.0
Belize,2.87618379515959,2.5628434467438326,7.58,-0.9,98260290.0,338260000.0
Bolivia,4.85718723245387,0.012153632922006389,3.11,4.1,1093306730.0,1341670000.0
Brazil,-3.54576339269425,-26.621330599837222,8.43,9,9149428910.0,15135100000.0
Barbados,-0.846098521356325,-1.4520925892205234,9.8,-1.1,290726900.0,626377000.0
Botswana,-4.85133564036167,-12.536060515383983,20.57,3.1,1552050140.0,0.0
Central African Republic,4.33712103020231,-10.501703034360489,5.61,1.4,1666120.0,1209580.0
Canada,0.649970993709132,-13.802634860932647,6.91,1.1,11892645240.0,28766300000.0
Switzerland,1.64462768699285,-4.46220713998819,4.8,-1.1,4402200550.0,0.0
Chile,2.15194249853634,-6.592139743155373,6.51,4.3,4013798510.0,6921290000.0
Cameroon,5.66695298703932,-11.477626467032435,3.55,2.7,364409190.0,640292000.0
Colombia,2.95590137527523,-23.016550012859444,8.3,5,5088560650.0,9099910000.0
Comoros,1.14735076108914,-15.967295611360655,8.14,0.9,8115840.0,12910800.0
Costa Rica,3.65208096802883,8.507915220853757,9.0,0.8,1236567830.0,2190370000.0
Cyprus,3.41892299033393,-14.279908359271968,14.91,-1.5,1193652390.0,2665710000.0
Germany,1.65271977174628,-13.672705167069598,4.62,0.7,20551156200.0,38859000000.0
Denmark,2.10441458712587,-14.475328931617652,6.28,0.2,3271605360.0,6297330000.0
Dominican Republic,6.9270187716221,5.931637076975223,7.61,0.8,1997901520.0,0.0
Algeria,3.20000000000009,-21.531863619707856,11.21,4.8,1985191780.0,3337670000.0
Ecuador,0.119692109287612,-5.362494447651398,3.62,4,2095835140.0,3628860000.0
Spain,4.06086669718569,-12.612241966529913,22.06,-0.6,7015971740.0,16053000000.0
Estonia,1.83815704837467,-13.837538018894097,6.19,0.1,1509613920.0,3535580000.0
Finland,0.46650351789539,-14.724298687189263,9.38,-0.2,2418778230.0,4227290000.0
Fiji,4.50119938335874,-3.5952462807200103,4.3,1.4,453657110.0,0.0
France,1.06675473488909,-14.63537588082389,10.35,0.1,19527719010.0,36869600000.0
Gabon,3.8788993950789,-20.989156676727184,20.61,-0.1,363663210.0,554651000.0
United Kingdom,2.22288844908437,-4.463625765926651,5.3,0,18125724380.0,33445300000.0
Georgia,3.35102350265353,-15.263367773995412,16.51,4,658487300.0,1228680000.0
Ghana,2.12075933817334,-9.815596756513438,6.81,17.2,510478980.0,0.0
Guinea,3.82591056949435,0.17916976399959206,4.92,8.2,310169070.0,655334000.0
Gambia,4.0580738039996,12.095934743950004,9.47,6.8,72700580.0,92621200.0
Guinea-Bissau,6.1340893623123,1.5092213060497661,5.87,1.5,27310390.0,47830700.0
Greece,-0.228301959026894,-16.82011963115232,24.9,-1.1,3031764280.0,7743190000.0
Guatemala,4.09217081621244,7.491357591925418,2.51,2.4,2016039190.0,3866210000.0
Guyana,0.687404590619494,3.68683555086811,13.21,-0.9,356244410.0,726283000.0
Honduras,3.84007997093951,6.191661529739612,6.15,3.2,1283446830.0,2388380000.0
Croatia,2.32317515803855,-14.43823828479932,16.18,-0.3,966675610.0,1775750000.0
Hungary,3.7073159793626,-11.245298228469702,6.81,-0.1,1357614770.0,2364940000.0
Indonesia,4.87632230022123,-3.363271949408744,4.51,6.4,14008540730.0,24139000000.0
India,7.99625378571471,3.1612497581389682,5.43,4.9,3986018210.0,6653510000.0
Ireland,24.6155699766256,13.34553715586903,9.91,0,2473485100.0,4444870000.0
Iceland,4.43666371937172,-1.9613738793065956,3.98,1.6,617618250.0,1121140000.0
Israel,2.31351073538721,-3.619222427212085,5.25,-0.6,1790373000.0,1603340000.0
Italy,0.885667638046783,-15.084625712076003,11.9,0.1,7006745460.0,15605500000.0
Jamaica,0.92148712538031,2.0844283653500657,13.51,3.7,685186610.0,1552250000.0
Jordan,2.49652879315188,4.720449396444628,13.08,-0.9,1386469650.0,2672520000.0
Japan,1.56062669674904,-9.231453335844613,3.4,0.8,14478385930.0,27460200000.0
Kazakhstan,1.20000000053288,-16.722943918976053,4.93,6.7,931820510.0,1942700000.0
Kenya,4.96772112759767,2.686723266327264,2.78,6.6,2291665430.0,4383380000.0
Kyrgyz Republic,3.87582544512439,-10.5773174679258,7.56,6.5,643315350.0,1599820000.0
Cambodia,7.20703472529512,9.675883617706923,0.39,1.2,25117110.0,18632900.0
Kuwait,0.592771759399795,-29.55103703794681,2.2,3.3,141357140.0,61966900.0
Lebanon,0.462320792597581,3.8135272667235984,9.32,-3.8,3642460900.0,6721640000.0
Sri Lanka,4.2059554759927,3.165474405096088,4.52,2.2,1509287910.0,3001350000.0
Lesotho,3.12406678044546,-3.3336430775253176,23.84,3.2,149687620.0,0.0
Lithuania,2.83280857741104,-14.00553818879512,9.12,-0.7,1167503370.0,2081800000.0
Luxembourg,2.26978448419565,-12.692757149745193,6.67,0.1,1334429650.0,2489460000.0
Latvia,3.78336528957813,-12.988775055737431,9.87,0.2,1108690160.0,2040300000.0
Morocco,4.34458297635238,-7.317179553823356,9.46,1.6,3327909950.0,6750370000.0
Moldova,-0.338235622387202,-17.064534773718897,4.7,9.6,396334400.0,698199000.0
Madagascar,3.13229807490305,-9.581895551288563,1.79,7.4,441512350.0,775888000.0
Maldives,3.97171570327362,11.68815299342459,6.93,1.4,275342950.0,503854000.0
Mexico,2.70232342550646,-11.081890409652612,4.31,2.7,19712136980.0,0.0
Malta,9.62109756228348,-4.603266465510272,5.38,1.2,1786698060.0,5149030000.0
Myanmar,6.99284029025125,-9.040072582682473,0.77,7.3,1816418310.0,2444300000.0
Montenegro,3.39038139712073,-11.735751649848728,17.54,1.5,154798160.0,266527000.0
Mongolia,2.37983580731722,-4.961529052532889,4.86,6.8,707632290.0,1146520000.0
Mozambique,7.3930936986377,-9.841119977865041,3.43,3.6,713071180.0,1021310000.0
Mauritania,5.37633924099251,-6.456904749223977,10.14,0.5,540167860.0,0.0
Mauritius,3.69055690369433,-8.159922765925707,7.41,1.3,553881730.0,303054000.0
Malawi,2.80000000125513,4.750968230625963,5.86,21.9,229252350.0,192085000.0
Malaysia,5.09153242155011,-10.859068290106444,3.1,2.1,14718760390.0,29373900000.0
Namibia,4.26417453763675,-8.847862923376661,20.91,3.4,1085368200.0,8160310000.0
Niger,4.39264883207291,-10.854107934677154,0.53,1,78977680.0,100619000.0
Nigeria,2.65269329543003,-14.134339175438178,4.31,9,6081099590.0,0.0
Nicaragua,4.79144081994679,7.375586233312951,4.7,4,387974900.0,617370000.0
Netherlands,2.12060522421717,-13.955068396558271,6.87,0.2,26599435250.0,57863000000.0
Norway,1.85733972643303,-22.636775670785962,4.3,2.2,2168477570.0,4371570000.0
Nepal,3.97605327162971,7.167060120853925,3.1,7.2,606231800.0,380475000.0
New Zealand,3.73403577291154,-11.539493553144434,5.41,0.3,1323382540.0,2416190000.0
Oman,5.01705799719045,-15.090004152311279,3.39,0.1,3071337690.0,4801430000.0
Pakistan,4.21794209572506,10.528415078727473,3.57,4.5,5898256590.0,10321500000.0
Panama,5.26691719595516,8.440493021025572,2.98,0.1,1540877920.0,2427960000.0
Peru,3.25224477218451,-5.470132673644859,3.27,3.5,2494121270.0,0.0
Philippines,6.34830971539886,3.0127096913065103,3.07,0.7,3336971850.0,6771150000.0
Poland,4.43176700264478,-11.451048901480755,7.5,-0.9,1815296670.0,2818290000.0
Portugal,1.58979828893855,-13.491081300491908,12.44,0.5,1132703730.0,2335380000.0
Paraguay,2.95715173487106,-10.318710068162162,4.56,3.1,1324168030.0,1819490000.0
Qatar,4.75334572438737,-21.570968401763217,0.17,0.9,125465360.0,59074000.0
Romania,3.1570360543854,-10.933774688216992,6.81,-0.6,1209987810.0,1997570000.0
Russian Federation,-1.97271922580408,-33.787167620909074,5.57,15.5,1067704840.0000001,1286520000.0
Rwanda,8.8568555974538,3.6994158168870492,1.15,2.5,410317770.0,378106000.0
Saudi Arabia,4.5090590631757,-12.669039492523229,5.59,1.2,600093770.0,848996000.0
Sudan,1.91017689052751,4.463156649965978,17.49,16.9,60503960.0,72321600.0
Senegal,6.36704365066983,-10.215996628998202,6.76,0.9,709619370.0,1418930000.0
Singapore,2.97679931634806,-2.180320592340421,3.79,-0.5,42573602900.0,112782000000.0
Solomon Islands,1.67614615649777,-2.071138446462694,0.73,-0.6,72867190.0,68262600.0
Sierra Leone,-20.4910741067999,-15.216826770439345,4.74,6.7,477835240.0,3209180.0
El Salvador,2.40000008852115,3.7390006935632285,4.0,-0.7,1167949100.0,2176940000.0
Suriname,-3.41304268067621,-2.182350916338737,7.22,6.9,233957510.0,290331000.0
