Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,2.735727,2.850135,2.823203,2.854554,3.062758,3.051023,3.085421,3.180746,3.239137,2.860879,2.782678,2.876433,2.846495,3.029567,2.981501,2.962907,3.013858,3.226291,3.303628,3.229876,2.383267,2.958412,3.210407,3.34729
Africa Eastern and Southern,486.126929,503.16921,522.471173,537.916681,567.800088,602.795765,642.446909,685.15049,715.079143,721.307367,759.043542,789.898217,803.696721,838.588876,872.072577,898.277807,917.992857,942.636771,967.773423,989.009455,960.681331,1004.645882,1040.349775,1064.487323
"Afghanistan, Rep. of.",6.206548,5.621148,7.228796,7.867263,7.978516,8.87448,9.349922,10.642672,11.060395,13.426272,15.354613,15.420078,17.38649,18.360263,18.860496,19.134222,19.566715,20.084647,20.323499,21.118474,20.621957,16.345203,15.325234,15.740684
Africa Western and Central,323.300982,340.02229,373.938839,394.677265,426.202276,451.024229,475.249398,501.534313,533.023793,566.454397,605.933572,635.339697,668.175443,709.335243,751.328052,771.766914,773.007777,790.70819,813.201904,839.491929,831.06348,864.618744,897.385026,927.489896
Angola,31.304495,32.621162,37.079068,38.187732,42.369289,48.737393,54.366562,61.983318,68.906854,69.499453,72.5563,75.075494,81.488523,85.525964,89.650504,90.496421,88.161568,88.031783,86.872966,86.262881,81.399194,82.375342,84.883446,85.733375
Albania,6.057219,6.559563,6.857139,7.236245,7.6353,8.057259,8.532852,9.043395,9.721653,10.047745,10.420209,10.685446,10.836885,10.945472,11.139694,11.386853,11.764325,12.211675,12.702505,12.964502,12.534896,13.65922,14.318508,14.882174
Andorra,2.240766,2.422702,2.532847,2.753058,2.977037,3.137732,3.288616,3.339694,3.154034,2.986781,2.927793,2.927557,2.781927,2.683235,2.750436,2.789881,2.893377,2.90339,2.949518,3.008967,2.672446,2.893906,3.170697,3.252613
Arab World,1402.269871,1431.761054,1449.362288,1511.413168,1648.597987,1740.413142,1849.980652,1935.262918,2042.972737,2056.232675,2155.681655,2232.625504,2344.317187,2404.104967,2464.744944,2544.700997,2636.674298,2677.219844,2747.631798,2791.146446,2659.633647,2766.846308,2925.149569,2955.008072
United Arab Emirates,200.410321,203.214232,208.159363,226.478513,248.144436,260.192199,285.788137,294.888747,304.301113,288.346843,292.96861,311.179896,316.857314,332.876224,346.742822,370.27547,390.868306,393.741456,398.91488,403.336245,383.342656,400.036291,430.077804,445.641058
Argentina,395.646067,378.202666,336.999434,366.780211,399.898899,435.29659,470.325566,512.690851,533.491914,501.917061,552.738162,585.924294,579.910247,593.858966,578.937575,594.749285,582.37655,598.790851,583.11812,571.450737,514.874344,568.636555,598.603017,588.959513
Armenia,3.959425,4.33953,4.912347,5.600076,6.188084,7.048228,7.978594,9.071661,9.697606,8.330243,8.513509,8.913644,9.555426,9.870755,10.226102,10.553338,10.574444,11.367528,11.958639,12.867495,11.941036,12.633616,14.225452,15.406164
American Samoa,,,0.744924,0.752116,0.755198,0.752116,0.721292,0.734649,0.715127,0.68533,0.687385,0.687385,0.657588,0.641148,0.65245,0.673,0.661698,0.615461,0.631901,0.628818,0.65656,0.651423,0.662725,
Antigua and Barbuda,1.195469,1.141098,1.15282,1.222876,1.293396,1.377129,1.552135,1.696721,1.696484,1.493534,1.376434,1.349474,1.394989,1.38661,1.417274,1.437756,1.4967,1.533569,1.640201,1.691054,1.371776,1.484149,1.625386,1.688159
Australia,872.651654,890.323771,925.754968,954.36785,994.683066,1026.057036,1054.328459,1094.111664,1133.349429,1154.798699,1180.435002,1208.849019,1256.196123,1288.884775,1322.334997,1351.296372,1388.583855,1420.237898,1461.119016,1492.847874,1491.062566,1522.541404,1587.133481,1641.762491
Austria,309.0148,313.084487,317.731816,321.358931,329.602607,337.250592,348.276447,361.424665,366.67727,353.527252,359.922499,370.459115,372.78651,371.851835,374.662288,379.546097,387.581922,396.388753,406.235925,413.36527,387.247797,405.817603,427.236227,423.156281
Azerbaijan,11.918437,13.098362,14.334705,15.798035,17.259954,22.086103,29.705808,37.13226,41.127312,44.950656,47.22019,47.26741,48.290863,51.096466,52.501877,53.076235,51.430872,51.533734,52.30674,53.614408,51.308989,54.190733,56.745719,57.383526
